Traces_Median_Delta_From_Traces_Elapsed_Time_null,UNIT_CATEGORY,RemainingTime,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,NumExecution_Current_Activity,Count_Concurrent_Instances,CONTAINER_TYPE,UNIT_FREIGHT_KIND,Median_Elapsed_Time_Concurrent_Instances,LINE_OPERATOR,Mean_Elapsed_Time_Concurrent_Instances,UNIT_GKEY,Trace_Start_Time,CLASS
-16139000,EXPRT,?,-74020435,?,624,20RG,MTY,10505000,4103,32825754,2672778879,?,'[6.24443E8,1.058038E9['
-15898000,EXPRT,?,-75355347,?,624,20RG,MTY,57981000,4076,36578187,2672691798,?,'[2.17554E8,2.24119E8['
-15116000,EXPRT,?,-71726704,?,624,40HC,FCL,10593000,4076,32605093,2672757846,?,'[2.13063E8,2.17554E8['
-1206000,EXPRT,?,-77679952,?,624,20RG,MTY,56216000,4076,42299449,2672687234,?,'[2.17554E8,2.24119E8['
0,EXPRT,?,-40535221,?,10756,20RG,FCL,105601000,4185,103733728,2672901037,?,'[7.8491E7,2.13063E8['
-15928500,EXPRT,?,-73485264,?,624,40HC,FCL,10876000,4173,32791982,2672739683,?,'[3.649E8,4.6604E8['
-16563500,EXPRT,?,-73214532,?,626,20RG,MTY,13771000,4185,34691041,2672722047,?,'[4.6604E8,5.20066E8['
-16417000,EXPRT,?,-74038699,?,624,20RG,MTY,10990000,4103,32994194,2672791891,?,'[6.24443E8,1.058038E9['
-14095000,EXPRT,?,-70422826,?,624,20RG,FCL,52868500,4060,33569408,2672725106,?,'[5.20066E8,6.24443E8['
-15313000,EXPRT,?,-71488262,?,624,20RG,MTY,56860000,4076,34725246,2672716526,?,'[2.13063E8,2.17554E8['
3280000,EXPRT,?,-9229660,?,3619,40HC,FCL,168164500,4060,177851483,2672886742,?,'[3.649E8,4.6604E8['
-16555000,EXPRT,?,-73242566,?,626,40HC,MTY,13615000,4173,34635331,2672848780,?,'[3.649E8,4.6604E8['
-15475500,EXPRT,?,-78949314,?,624,20RG,MTY,56383000,1365373081,40194727,2672689044,?,'[1.058038E9,1.522382E9['
0,EXPRT,?,14851342,?,3632,20RG,MTY,169224000,4103,165584782,2672886996,?,'[5.20066E8,6.24443E8['
-14919000,EXPRT,?,-71015829,?,624,20RG,MTY,55165500,4185,34029734,2672754596,?,'[3.11746E8,3.649E8['
-15379000,EXPRT,?,-71273754,?,624,20RG,MTY,56597000,4076,34335301,2672717841,?,'[2.13063E8,2.17554E8['
-16537000,EXPRT,?,-73685940,?,624,40HC,FCL,12192000,4185,33398396,2672752880,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,3929638,?,3646,20RG,FCL,169409000,4185,161164009,2672796372,?,'[2.24119E8,3.11746E8['
0,EXPRT,?,-20742942,?,4096,20RG,MTY,11460000,4185,95587741,2672775665,?,'[7.8491E7,2.13063E8['
-15489000,EXPRT,?,-72910709,?,624,20RG,MTY,14098000,4185,33472981,2672733668,?,'[3.11746E8,3.649E8['
-15898000,EXPRT,?,-75341134,?,624,20RG,MTY,57997000,4185,36587190,2672665854,?,'[3.11746E8,3.649E8['
-15684000,EXPRT,?,-72481897,?,624,20RG,MTY,12362000,1365373081,33152190,2672694811,?,'[1.058038E9,1.522382E9['
-16595500,EXPRT,?,-73102818,?,626,40RG,MTY,15126000,4173,35717818,2672873308,?,'[3.649E8,4.6604E8['
0,EXPRT,?,-487758,?,3659,20RG,MTY,169944500,4103,160080740,2672863096,?,'[5.20066E8,6.24443E8['
-16417000,EXPRT,?,-73411399,?,624,20RG,MTY,11455000,4185,33132573,2672731917,?,'[4.6604E8,5.20066E8['
-954000,EXPRT,?,-51658944,?,6499,40HC,FCL,33832500,4185,76026479,2672753166,?,'[2.24119E8,3.11746E8['
-856000,EXPRT,?,-50600824,?,6499,40HC,FCL,40811000,4103,82582434,2672905081,?,'[2.24119E8,3.11746E8['
-13281000,EXPRT,?,-73121080,?,624,20RG,MTY,57593000,4076,36189438,2672687823,?,'[2.17554E8,2.24119E8['
-15379000,EXPRT,?,-78766755,?,624,20RG,MTY,56350000,1365373081,41040052,2672689090,?,'NOT SET'
-805000,EXPRT,?,-48085421,?,6386,20RG,FCL,72969000,4060,109396175,2672757977,?,'[7.8491E7,2.13063E8['
-202000,EXPRT,?,-38882617,?,5724,20RG,FCL,18836000,4060,68073720,2672738861,?,'[2.24119E8,3.11746E8['
-16462500,EXPRT,?,-73587060,?,625,20OT,MTY,13131000,4047,34269686,2672842933,?,'[5.20066E8,6.24443E8['
-15313000,EXPRT,?,-71197525,?,624,40HC,FCL,56643000,4076,34551892,2672731913,?,'[2.13063E8,2.17554E8['
-15684000,EXPRT,?,-79236372,?,624,20RG,MTY,56440000,1365373081,41130029,2672688907,?,'[1.058038E9,1.522382E9['
-16563500,EXPRT,?,-73209499,?,626,20RG,MTY,13736000,4173,34677558,2672848727,?,'[3.649E8,4.6604E8['
-1199000,EXPRT,?,-77688523,?,624,20RG,MTY,54402000,4103,48276934,2672623565,?,'[6.24443E8,1.058038E9['
-16089000,EXPRT,?,-74774976,?,624,20RG,MTY,58108000,4076,36282623,2672699076,?,'[2.17554E8,2.24119E8['
-16537000,EXPRT,?,-73233706,?,626,20RG,FCL,14141000,4060,34884740,2672845388,?,'[3.649E8,4.6604E8['
-16462500,EXPRT,?,-74174687,?,624,20RG,MTY,11760000,4185,33271040,2672679261,?,'[4.6604E8,5.20066E8['
-16537000,EXPRT,?,-73173125,?,626,40HC,MTY,13952000,4173,34853661,2672857867,?,'[3.649E8,4.6604E8['
-15406000,EXPRT,?,-72414564,?,624,20RG,MTY,12054000,4076,33119072,2672779989,?,'[2.13063E8,2.17554E8['
-835500,EXPRT,?,-51455017,?,6394,40HC,FCL,47999000,4185,84917421,2672896701,?,'[2.24119E8,3.11746E8['
-15406000,EXPRT,?,-71811013,?,624,20RG,MTY,57574000,4076,35092344,2672711631,?,'[2.17554E8,2.24119E8['
-16448000,EXPRT,?,-73781168,?,624,20RG,FCL,12350000,4037,33785172,2672719087,?,'[5.20066E8,6.24443E8['
-15083000,EXPRT,?,-70542177,?,624,20RG,MTY,53173000,4185,33831939,2672646786,?,'[3.11746E8,3.649E8['
-15959000,EXPRT,?,-73927437,?,624,20RG,MTY,10416500,4076,32760403,2672794068,?,'[2.13063E8,2.17554E8['
-16611000,EXPRT,?,-73194281,?,626,20RG,MTY,15373000,4185,35933267,2672691864,?,'[4.6604E8,5.20066E8['
-15247000,EXPRT,?,-71032289,?,624,20RG,MTY,55209500,4076,34068099,2672727604,?,'[2.13063E8,2.17554E8['
-16444000,EXPRT,?,-73763999,?,624,40RH,MTY,11218000,4185,32988074,2672808651,?,'[1.058038E9,1.522382E9['
-15379000,EXPRT,?,-72324919,?,624,20RG,MTY,11991000,4076,33056389,2672781156,?,'[2.13063E8,2.17554E8['
-16462500,EXPRT,?,-73489365,?,624,20RG,MTY,11649000,4103,33177446,2672776934,?,'[6.24443E8,1.058038E9['
-4965000,EXPRT,?,-72774939,?,624,20RG,MTY,57484000,4076,36079346,2672684615,?,'[2.17554E8,2.24119E8['
0,EXPRT,?,-18283659,?,3610,20RG,MTY,166865000,4185,181290197,2672769298,?,'[3.11746E8,3.649E8['
-15959000,EXPRT,?,-74961698,?,624,20RG,MTY,58109000,4185,36715377,2672730433,?,'[3.11746E8,3.649E8['
-15959000,EXPRT,?,-73944158,?,624,20RG,MTY,10407500,4076,32751399,2672793957,?,'[2.13063E8,2.17554E8['
-15406000,EXPRT,?,-72426571,?,624,20RG,MTY,11855000,1365373081,32902484,2672692106,?,'[1.058038E9,1.522382E9['
