Traces_Median_Delta_From_Traces_Elapsed_Time_null,UNIT_CATEGORY,RemainingTime,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,NumExecution_Current_Activity,Count_Concurrent_Instances,CONTAINER_TYPE,UNIT_FREIGHT_KIND,Median_Elapsed_Time_Concurrent_Instances,LINE_OPERATOR,Mean_Elapsed_Time_Concurrent_Instances,UNIT_GKEY,Trace_Start_Time,CLASS
-15898000,EXPRT,?,-75000679,?,624,20RG,MTY,58050000,4076,36647917,2672696509,?,'[2.17554E8,2.24119E8['
6756500,EXPRT,?,-5277521,?,3615,40HC,MTY,167887000,4173,180004760,2672902625,?,'[2.24119E8,3.11746E8['
-15406000,EXPRT,?,-72385297,?,624,20RG,MTY,11937000,4076,33002381,2672781105,?,'[2.13063E8,2.17554E8['
-15247000,EXPRT,?,-71004493,?,624,40HC,MTY,55225500,4185,34082767,2672719026,?,'[1.058038E9,1.522382E9['
0,EXPRT,?,-9099817,?,3680,20RG,MTY,170516000,4185,149834169,2672951132,?,'[7.8491E7,2.13063E8['
-15379000,EXPRT,?,-72014247,?,624,20RG,MTY,57507000,4076,35025359,2672711798,?,'[2.13063E8,2.17554E8['
-16498000,EXPRT,?,-72702854,?,624,40HC,MTY,12698000,4185,34031035,2672817371,?,'[1.058038E9,1.522382E9['
0,EXPRT,?,-37323453,?,11163,20RG,MTY,146637000,4037,138749276,2672834155,?,'[2.24119E8,3.11746E8['
-15628000,EXPRT,?,-72866785,?,624,20RG,MTY,57715000,4076,35502556,2672711754,?,'[2.17554E8,2.24119E8['
-15406000,EXPRT,?,-71927082,?,624,40RG,FCL,57520000,4076,35046626,2672753056,?,'[2.17554E8,2.24119E8['
-915000,EXPRT,?,-50774217,?,6499,40HC,FCL,38910000,4185,80681187,2672903172,?,'[2.24119E8,3.11746E8['
6756500,EXPRT,?,-3924354,?,3619,40HC,MTY,167893000,4037,179348701,2672868430,?,'[3.649E8,4.6604E8['
-16089000,EXPRT,?,-73917230,?,624,20RG,MTY,10676000,4185,32800603,2672686370,?,'[3.11746E8,3.649E8['
